"Date","Price","Open","High","Low","Vol.","Change %"
"05/07/2024","124.35","124.24","124.71","124.03","5.24M","0.27%"
"05/06/2024","124.01","123.58","124.11","123.47","7.16M","1.01%"
"05/03/2024","122.77","123.07","123.21","122.20","9.07M","0.70%"
"05/02/2024","121.92","121.80","122.15","120.56","12.00M","0.58%"
"05/01/2024","121.22","121.33","122.85","120.92","15.57M","-0.25%"
"04/30/2024","121.52","123.30","123.48","121.47","15.48M","-1.59%"
"04/29/2024","123.48","122.91","123.59","122.86","6.34M","0.67%"
"04/26/2024","122.66","122.15","123.03","122.13","6.96M","0.16%"
"04/25/2024","122.46","121.41","122.75","120.60","10.32M","0.30%"
"04/24/2024","122.09","122.96","123.18","121.07","11.06M","-0.80%"
"04/23/2024","123.07","122.24","123.24","122.06","9.87M","1.39%"
"04/22/2024","121.38","121.20","122.18","120.63","10.48M","0.76%"
"04/19/2024","120.47","120.95","121.62","120.17","10.83M","-0.18%"
"04/18/2024","120.69","121.69","122.18","120.50","9.20M","-0.35%"
"04/17/2024","121.11","122.42","122.45","120.36","11.08M","-0.52%"
"04/16/2024","121.74","121.98","122.32","121.12","11.05M","-0.23%"
"04/15/2024","122.02","124.58","124.76","121.65","10.37M","-0.72%"
"04/12/2024","122.90","123.45","123.89","122.38","11.60M","-1.07%"
"04/11/2024","124.23","124.15","124.74","123.20","8.23M","0.11%"
"04/10/2024","124.09","123.61","124.47","123.18","14.12M","-0.85%"
"04/09/2024","125.16","125.62","125.96","123.72","9.04M","-0.23%"
"04/08/2024","125.45","125.85","126.06","125.36","6.10M","-0.18%"
"04/05/2024","125.67","124.35","126.00","124.29","10.72M","1.39%"
"04/04/2024","123.95","125.87","126.39","123.58","10.66M","-0.88%"
"04/03/2024","125.05","124.32","125.39","124.32","7.59M","0.51%"
"04/02/2024","124.41","124.49","124.90","124.15","11.05M","-0.46%"
"04/01/2024","124.99","126.09","126.16","124.91","6.91M","-0.77%"
"03/28/2024","125.96","126.10","126.29","125.72","7.29M","0.02%"
